"","player_api_id","appearances","num_leagues","gk_rating","player_name","overall_rating"
"131",40602,151,2,390,"John Ruddy",79
"132",37193,163,2,401,"Michel Vorm",81
"133",26818,19,1,386,"Anders Lindegaard",78
"134",24064,18,1,379,"Kieren Westwood",75
"135",182917,222,2,429,"David De Gea",87
"136",24634,5,1,350,"Radek Cerny",72
"137",69650,142,1,388,"Brad Guzan",79
"138",157303,25,1,364,"Adam Bogdan",73
"139",155936,1,1,337,"Ben Amos",67
"140",39351,53,2,401,"Doni",81
"141",35495,4,1,360,"Dorus De Vries",71
"142",127712,12,1,351,"Declan Rudd",70
"143",38617,27,1,371,"Adam Federici",73
"144",30989,202,3,438,"Julio Cesar",89
"145",33339,60,2,369,"Gerhard Tremmel",76
"146",278285,20,1,346,"Paulo Gazzaniga",65
"147",26295,282,2,425,"Hugo Lloris",86
"148",35496,18,1,NA,"Kelvin Davis",NA
"149",30974,201,3,418,"Artur Boruc",84
"150",23979,35,1,346,"Robert Elliot",69
"151",24341,43,2,365,"Jan Mucha",74
"152",23793,4,1,381,"Stuart Taylor",75
"153",186054,43,2,374,"Joel Robles",74
"154",119079,22,1,368,"Alex McCarthy",75
"155",22998,75,1,379,"Julian Speroni",77
"156",32446,37,1,371,"David Marshall",75
"157",30841,147,4,424,"Maarten Stekelenburg",85
"158",103428,52,1,378,"Costel Pantilimon",76
"159",32496,187,2,NA,"Allan McGregor",NA
"160",169756,121,2,388,"Adrian",78
"161",288880,36,1,397,"Jack Butland",79
"162",24155,38,1,376,"Tom Heaton",75
"163",37770,62,1,399,"Kasper Schmeichel",78
"164",42247,17,2,355,"Eldin Jakupovic",72
"165",95336,188,2,385,"Fraser Forster",77
"166",268375,3,1,339,"Emiliano Martinez",66
"167",45571,8,1,331,"Ben Hamer",66
"168",289159,5,1,324,"Jak Alnwick",65
"169",28955,123,2,389,"Wilfredo Caballero",80
"170",50065,211,2,394,"David Ospina",78
"171",190142,1,1,321,"Jed Steer",64
"172",109060,101,4,392,"Sergio Romero",78
"173",163604,9,1,338,"Karl Darlow",68
"174",37780,117,2,369,"Darren Randolph",73
"175",188971,4,1,305,"Jakob Haugaard",62
"176",73462,104,2,365,"Kristoffer Nordfeldt",73
"177",40714,120,1,400,"Remy Riou",79
"178",30458,37,1,405,"Ulrich Rame",81
"179",41186,33,1,386,"Christophe Revault",78
"180",145039,54,1,138,"Jean-Jacques Gosso",74
"181",26233,67,1,388,"Gennaro Bracigliano",78
"182",26523,122,1,396,"Nicolas Douchez",80
"183",26359,110,1,384,"Teddy Richert",78
"184",26150,34,1,375,"Gregory Malicki",75
"185",40712,22,1,350,"Lionel Cappone",69
"186",31293,300,1,421,"Steve Mandanda",84
"187",26350,33,1,374,"Jody Viviani",74
"188",26168,268,1,408,"Cedric Carrasso",83
"189",11321,53,1,369,"Vincent Plante",74
"190",26190,38,1,360,"Gregory Wimbee",75
"191",26126,67,1,392,"Yohann Pele",79
"192",41097,294,1,NA,"Stephane Ruffier",NA
"193",26252,7,1,345,"Tony Heurtebis",70
"194",30742,207,1,425,"Mickael Landreau",85
"195",33617,17,1,NA,"Lionel Letizi",NA
"196",26117,58,1,366,"Mathieu Valverde",72
"197",121488,1,1,312,"Alban Joinel",61
"198",26313,27,1,370,"Jerome Alonzo",78
"199",40709,178,1,380,"Fabien Audard",76
"200",26215,5,1,391,"Flavio Roma",80
"201",26343,103,1,396,"Jeremie Janot",80
"202",33546,16,1,394,"Ronan Le Crom",79
"203",33688,4,1,356,"Jeremy Gavanon",70
"204",26241,127,1,NA,"Olivier Sorin",NA
"205",78904,86,1,358,"Guy-Roland N'Dy Assembe",72
"206",94324,33,1,330,"Mathieu Dreyer",66
"207",26290,77,1,NA,"Damien Gregorini",NA
"208",103468,50,1,371,"Johny Placide",75
"209",27445,20,1,142,"Robert Vittek",80
"210",46705,212,1,387,"Geoffrey Jourdren",77
"211",165528,3,1,281,"Ibrahim Kone",56
"212",39565,64,1,377,"Vedran Runje",75
"213",38230,45,1,375,"Apoula Edima Edel",76
"214",188565,1,1,294,"Anthony Loustallot",59
"215",39989,37,2,447,"Gregory Coupet",92
"216",33129,15,1,345,"Olivier Blondel",70
"217",25852,59,2,334,"Jean Francois Bedenik",67
"218",104432,2,1,320,"Georgi Makaridze",61
"219",94289,16,3,119,"Idir Ouali",67
"220",26167,120,1,389,"Remy Vercoutre",76
"221",103372,2,1,348,"Elinton Andrade",69
"222",186806,2,1,302,"Brice Maubleu",61
"223",30899,12,1,330,"Hamdi Kasraoui",67
"224",93341,1,1,334,"Florian Bague",66
"225",23075,40,1,143,"Franco Sosa",72
"226",46224,19,1,354,"Cyrille Merville",70
"227",11320,95,1,374,"Steeve Elana",76
"228",26275,111,1,387,"Alexis Thebaux",77
"229",40549,4,1,331,"Kevin Olimpa",65
"230",33109,41,1,372,"Laurent Pionnier",74
"231",180284,2,1,342,"Marc Vidal",67
"232",111193,3,1,321,"Thomas Bosmel",63
"233",190741,131,1,377,"Ali Ahamada",75
"234",26367,2,1,NA,"Jessy Moulin",NA
"235",31047,122,2,409,"Guillermo Ochoa",82
"236",27659,213,2,410,"Salvatore Sirigu",84
"237",11319,181,1,407,"Benoit Costil",81
"238",279175,41,1,357,"Baptiste Reynet",72
"239",46535,1,1,360,"Thierry Debes",71
"240",38805,56,3,NA,"Stephan Andersen",NA
"241",26410,2,1,338,"Quentin Westberg",66
"242",189181,9,1,341,"Abdoulaye Diallo",69
"243",210114,83,1,381,"Benjamin Lecomte",77
"244",41195,14,1,343,"Florent Chaigneau",66
"245",94306,12,1,360,"Joris Delle",72
"246",30900,94,1,385,"Kossi Agassa",80
"247",140951,22,1,371,"Macedo Novaes",73
"248",26335,94,2,362,"Simon Pouplin",73
"249",41886,7,1,348,"Landry Bonnefoi",66
"250",26164,2,1,339,"Joan Hartock",67
"251",167035,112,1,405,"Anthony Lopes",82
"252",46741,1,1,348,"Johan Liebus",70
"253",156664,28,1,356,"Mamadou Samassa",72
"254",25540,111,1,407,"Vincent Enyeama",81
"255",25329,40,1,NA,"Jesper Hansen",NA
"256",115184,108,1,403,"Danijel Subasic",81
"257",215311,5,1,323,"Luca Veronese",64
"258",11316,45,1,357,"Jean-Louis Leca",71
"259",210682,32,1,375,"Zacharie Boucher",74
"260",352860,46,1,361,"Mouez Hassen",72
"261",185386,2,1,335,"Azbe Jug",66
"262",263511,17,1,344,"Maxime Dupe",69
"263",210164,68,2,394,"Alphonse Areola",80
"264",187563,16,1,331,"Anthony Mfa Meuzi",66
"265",120598,67,1,379,"Jonas Loessl",76
"266",46704,32,1,361,"Johan Carrasso",71
"267",563068,5,1,309,"Valentin Belon",61
"268",181619,23,1,352,"Benjamin Leroy",73
"269",215307,13,1,365,"Jonathan Ligali",73
"270",157955,1,1,312,"Samuel Atrous",61
"271",206711,54,3,369,"Mauro Goicoechea",74
"272",602493,21,1,330,"Paul Bernardoni",65
"273",311009,34,1,360,"Clement Maury",70
"274",145550,149,2,406,"Kevin Trapp",82
"275",103485,3,1,309,"Jules Stephane Goda",61
"276",698273,24,1,355,"Alban Lafont",70
"277",607121,1,1,299,"Paul Andre Guerin",60
"278",510569,25,1,350,"Yoan Cardinale",70
"279",291643,2,1,347,"Paul Nardi",72
"280",79248,11,1,344,"Denis Petric",71
"281",210387,17,1,338,"Alexandre Letellier",69
"282",529324,11,1,349,"Jerome Prior",69
"283",466439,3,1,331,"Mike Maignan",66
"284",27284,80,1,388,"Michael Rensing",79
"285",36147,3,1,326,"Benedikt Fernandez",67
"286",37322,4,1,368,"Mathias Schober",77
"287",30820,228,1,404,"Diego Benaglio",81
"288",27467,77,1,371,"Oka Nikolov",76
"289",36058,34,1,NA,"Dennis Eilhoff",NA
"290",36029,27,1,353,"Christopher Heimeroth",72
"291",37377,33,1,396,"Markus Miller",80
"292",25524,98,1,NA,"Frank Rost",NA
"293",35991,6,1,331,"Christian Vander",67
"294",24104,137,1,NA,"Jaroslav Drobny",NA
"295",26173,75,1,417,"Faryd Mondragon",87
"296",31299,32,1,NA,"Daniel Fernandes",NA
"297",27424,191,1,418,"Rene Adler",86
"298",27358,214,1,411,"Roman Weidenfeller",84
"299",30648,66,2,423,"Jens Lehmann",88
"300",27313,127,1,401,"Tim Wiese",83
"301",27518,56,1,371,"Florian Fromlowitz",75
"302",29303,33,1,353,"Daniel Haas",72
"303",27299,255,1,440,"Manuel Neuer",90
"304",38668,33,1,348,"Philipp Heerwagen",71
"305",27342,1,1,288,"Morten Jensen",58
"306",27341,30,1,424,"Robert Enke,30",85
"307",30703,79,1,405,"Timo Hildebrand",82
"308",36054,6,1,364,"Marc Ziegler",73
"309",42909,35,1,NA,"Ramazan Oezcan",NA
"310",27504,11,1,351,"Andre Lenz",73
"311",32653,62,1,398,"Hans-Joerg Butt",79
"312",27255,34,1,358,"Thomas Kessler",72
"313",49586,110,1,NA,"Ralf Faehrmann",NA
"314",36343,3,1,319,"Manuel Salz",64
"315",27433,153,1,387,"Raphael Schaefer",81
"316",25018,65,1,NA,"Heinz Mueller",NA
"317",114963,42,1,359,"Fabian Giefer",74
"318",71524,11,1,323,"Alexander Stephan",65
"319",94841,164,1,398,"Sven Ulreich",80
"320",114737,89,1,380,"Marwin Hitz",77
"321",27488,83,1,363,"Christian Wetklo",74
"322",128689,60,1,368,"Sebastian Mielitz",74
"323",178778,198,1,384,"Oliver Baumann",78
"324",36181,3,1,328,"Sascha Burchert",66
"325",42898,2,1,340,"Timo Ochs",73
"326",178771,3,1,357,"Andreas Luthe",72
"327",33473,63,1,378,"Tom Starke",77
"328",114211,7,1,322,"Miro Varvodic",68
"329",37678,38,1,368,"Tobias Sippel",74
"330",27447,3,1,358,"Mathias Hain",76
"331",36878,116,1,377,"Thomas Kraft",76
"332",41087,185,1,388,"Ron-Robert Zieler",80
"333",35875,5,1,322,"Benedikt Pliquett",65
"334",184554,114,2,409,"Marc-Andre ter Stegen",82
"335",27503,33,1,370,"Simon Jentzsch",75
"336",215168,166,1,417,"Bernd Leno",84
"337",210822,49,2,362,"Lars Unnerstall",74
"338",147733,25,1,351,"Mohamed Amsif",71
"339",38628,2,1,327,"Sven Neuhaus",67
"340",278865,6,1,342,"Patrick Rakovsky",69
"341",27376,25,1,365,"Max Gruen",74
"342",170322,57,1,365,"Koen Casteels",74
"343",40992,17,1,363,"Wolfgang Hesl",73
"344",39566,59,2,389,"Alex Manninger",77
"345",69149,21,1,372,"Mitchell Langerak",74
"346",5440,5,1,332,"Marjan Petkovic",67
"347",177698,38,2,347,"Daniel Davari",69
"348",287894,90,1,399,"Loris Karius",80
"349",94139,48,1,355,"Raphael Wolf",72
"350",97746,12,1,340,"Jens Grahl",70
"351",36479,21,2,347,"Thorsten Kirschbaum",68
"352",41618,208,2,413,"Yann Sommer",82
"353",212815,66,1,407,"Timo Horn",81
"354",37335,34,1,350,"Lukas Kruse",72
"355",177953,43,1,368,"Felix Wiedwald",75
"356",112978,178,2,398,"Roman Buerki",80
"357",240338,1,1,317,"Richard Strebinger",64
"358",408986,7,1,341,"Timon Wellenreuther",67
"359",68813,129,3,383,"Przemyslaw Tyton",78
"360",448805,33,1,355,"Christian Mathenia",72
"361",66757,34,1,374,"Lucas Hradecky",75
"362",40094,30,1,379,"Rune Almenning Jarstein",76
"363",304355,2,1,322,"Odisseas Vlachodimos",64
"364",73409,6,1,374,"Oerjan Haaskjold Nyland",73
"365",29529,1,1,364,"Dario Kresic",74
"366",69259,66,2,NA,"Lukasz Zaluska",NA
"367",42390,30,1,367,"Ferdinando Coppola",73
"368",39599,209,1,406,"Federico Marchetti",84
"369",37503,108,1,402,"Albano Benjamin Bizzarri",80
"370",24454,9,1,352,"Lorenzo Squizzi",71
"371",24503,156,1,437,"Sebastian Frey",87
"372",34530,167,1,417,"Christian Abbiati",85
"373",35644,244,1,386,"Antonio Mirante",79
"374",39323,46,1,417,"Matteo Sereni",83
"375",42422,286,1,412,"Samir Handanovic",84
"376",27691,156,1,387,"Gianluca Curci",77
"377",27697,67,1,400,"Luca Castellazzi",80
"378",39510,31,1,366,"Andrea Campagnolo",73
"379",39425,4,1,384,"Alberto Fontana",77
"380",25735,55,2,397,"Juan Pablo Carrizo",80
"381",41243,98,1,362,"Francesco Antonioli",74
"382",39204,8,1,377,"Alex Calderoni",73
"383",42042,14,1,377,"Gennaro Iezzo",75
"384",27558,69,1,NA,"Francesco Benussi",NA
"385",42702,54,1,383,"Rubinho",77
"386",39477,247,1,394,"Stefano Sorrentino",80
"387",30713,88,1,419,"Marco Amelia",83
"388",18558,18,1,375,"Nicolas Navarro",75
"389",19344,112,2,408,"Artur",82
"390",39354,5,1,358,"Emanuele Manitta",72
"391",30717,231,1,449,"Gianluigi Buffon",93
"392",41322,5,1,366,"Matteo Gianello",73
"393",39313,4,1,343,"Cristiano Lupatelli",70
"394",56829,87,1,412,"Fernando Muslera",83
"395",39170,222,1,398,"Andrea Consigli",80
"396",35626,7,1,356,"Emanuele Belardi",71
"397",50669,55,1,370,"Christian Puggioni",75
"398",27560,51,1,336,"Antonio Rosati",70
"399",30720,32,1,416,"Dida",88
"400",30281,2,1,401,"Francesco Toldo",81
"401",39163,1,1,352,"Dimitrios Eleftheropoulos",71
"402",41864,7,1,NA,"Roberto Colombo",NA
"403",12209,7,1,330,"Tomas Kosicky",66
"404",30850,1,1,386,"Zeljko Kalac",77
"405",49541,7,1,345,"Vincenzo Fiorillo",70
"406",41762,9,1,385,"Alessio Scarpi",75
"407",39522,1,1,313,"Pietro Marino",64
"408",41671,190,1,402,"Emiliano Viviano",80
"409",39415,160,1,388,"Mariano Andujar",77
"410",27667,22,1,347,"Alfonso De Lucia",70
"411",32746,220,1,404,"Morgan De Sanctis",83
"412",39401,56,1,393,"Julio Sergio",79
"413",414788,91,1,357,"Gianluca Pegolo",73
"414",27615,68,1,NA,"Marco Storari",NA
"415",42502,134,1,377,"Michael Agazzi",76
"416",39769,7,2,348,"Tommaso Berni",70
"417",41881,2,1,379,"Antonio Chimenti",73
"418",111741,1,1,320,"Mauro Vigorito",65
"419",43283,117,2,395,"Eduardo",80
"420",41643,22,1,335,"Michele Arcari,22",68
"421",39725,18,1,406,"Bogdan Lobont",82
"422",42692,108,1,371,"Daniele Padelli",76
"423",155246,45,1,350,"Angelo da Costa",71
"424",74354,27,1,360,"Massimiliano Benassi",73
"425",181910,123,1,397,"Mattia Perin",81
"426",41045,44,1,368,"Samir Ujkani",74
"427",157284,85,1,382,"Zeljko Brkic",78
"428",39743,12,1,NA,"Alberto Maria Fontana",NA
"429",42306,12,1,376,"Alexandros Tzorvas",76
"430",39567,16,1,NA,"Nicola Pavarini",NA
"431",41405,8,1,334,"Nicola Ravaglia",68
"432",39713,4,1,350,"Ciro Polito",71
"433",42478,31,1,NA,"Vlada Avramov",NA
"434",281762,2,1,320,"Pietro Terracciano",67
"435",27658,38,1,354,"Federico Agliardi",72
"436",41489,2,1,308,"Achille Coser",61
"437",42009,2,1,340,"Giorgio Frezzolini",69
"438",176186,75,1,394,"Neto",79
"439",27677,10,1,354,"Ivan Pelizzoli",72
"440",30143,18,1,362,"Alberto Frison,18",74
"441",197952,5,1,304,"Dejan Stojanovic",60
"442",41478,71,1,120,"Gabriele Perico",71
"443",105828,69,1,363,"Rafael",75
"444",181920,48,1,367,"Francesco Bardi",75
"445",265273,7,1,361,"Gabriel",74
"446",172157,30,1,387,"Rafael",77
"447",150747,34,1,366,"Etrit Berisha",74
"448",212630,76,1,388,"Marco Sportiello",78
"449",40648,61,2,NA,"Antonio Adan",NA
"450",106294,10,1,354,"Ivan Kelava",72
"451",423223,17,1,353,"Simone Scuffet",72
"452",165952,3,1,341,"Marco Silvestri",70
"453",176682,2,1,308,"Pavol Bajza",62
"454",41948,3,1,350,"Luca Anania",68
"455",178732,92,2,353,"Lukasz Skorupski",73
"456",33644,18,2,361,"Antonio Doblas",74
"457",74028,6,1,326,"Alberto Pomini",67
"458",213299,62,1,356,"Nicola Leali",72
"459",41466,247,2,418,"Diego Lopez",84
"460",13033,81,2,391,"Orestis Karnezis",79
"461",39294,8,1,345,"Davide Bassi",70
"462",282706,14,1,338,"Alessio Cragno",70
"463",163255,31,1,355,"Luigi Sepe",73
"464",182843,5,1,334,"Alessandro Iacobucci",67
"465",103218,46,1,376,"Ciprian Tatarusanu",75
"466",128803,5,1,331,"Simone Colombi",68
"467",162885,19,1,353,"Eugenio Lamanna",71
"468",394824,4,1,351,"Salvador Ichazo",70
"469",553849,28,1,345,"Pierluigi Gollini",70
"470",618878,30,1,368,"Gianluigi Donnarumma",73
"471",181911,52,2,352,"Vid Belec",72
"472",41458,3,1,326,"Massimo Zenildo Zappino",66
"473",655544,1,1,278,"Josip Posavec",54
"474",39302,6,1,336,"Alberto Pelagotti",67
"475",150464,3,1,339,"Andrea Seculin",69
"476",42429,1,1,317,"Maurizio Pugliesi",62
"477",37216,156,2,384,"Piet Velthuizen",77
"478",42710,39,1,346,"Maikel Aerts",70
"479",26510,107,1,363,"Gabor Babos",76
"480",26663,43,1,347,"Martin Pieckenhagen",70
"481",5044,21,1,344,"Jeroen Verhoeven",68
"482",26002,155,1,384,"Kenneth Vermeer",78
"483",42829,215,1,NA,"Jelle ten Rouwelaar",NA
"484",36617,101,1,413,"Andreas Isaksson",83
"485",26536,58,1,383,"Sander Boschker",76
"486",34489,20,1,360,"Henk Timmer",73
"487",101584,9,1,NA,"Cassio",NA
"488",26003,4,1,344,"Hans Vonk",69
"489",45492,33,1,343,"Robert Zwinkels",67
"490",36846,98,1,371,"Luciano",75
"491",26483,55,1,346,"Brian Vandenbussche",71
"492",110154,42,1,328,"Wesley de Ruiter",66
"493",42573,19,1,358,"Joey Didulica",74
"494",40916,87,1,396,"Nikolai Mihaylov",80
"495",26484,68,1,369,"Boy Waterman",73
"496",26585,10,1,328,"Jurgen Wevers",65
"497",22822,32,1,338,"Aleksander Seliga",67
"498",150210,5,1,345,"Darley",69
"499",37206,155,1,353,"Gino Coutinho",71
"500",26670,35,1,349,"Brian van Loo",70
"501",26586,62,1,333,"Kevin Begois",67
"502",26576,59,1,362,"Rob van Dijk",72
"503",45853,18,1,318,"Barry Ditewig",62
"504",184621,24,1,330,"Ohad Levita",65
"505",45836,51,1,338,"Niki Maeenpaeae",67
"506",150217,24,1,322,"Dennis Telgenkamp",65
"507",39609,10,1,341,"Martin Lejsal",70
"508",36013,56,1,356,"Dennis Gentenaar",73
"509",112107,150,1,377,"Erwin Mulder",74
"510",104033,6,2,368,"Ruud Boffin",73
"511",26547,136,1,359,"Remko Pasveer",71
"512",212512,128,1,399,"Jasper Cillessen",82
"513",27329,28,1,354,"Kevin Stuhr Ellegaard",71
"514",150242,113,1,369,"Eloy Room",74
"515",33682,24,1,335,"Cees Paauwe",68
"516",110108,1,1,273,"Lex van Haeften",56
"517",214984,134,1,379,"Esteban Alvarado",76
"518",27031,9,1,315,"Nico Pellatz",63
"519",243486,1,1,291,"Collin van Eijk",57
"520",209422,16,1,334,"Mateusz Prus",66
"521",110136,2,1,62,"Rik Sebens",58
"522",150236,162,1,396,"Jeroen Zoet",79
"523",26508,6,1,328,"Joost Terol",65
"524",5047,10,1,309,"Wilko de Vogt",61
